"name","price","review_count","purchase_price","profitable"
"Absolute RC Heli Simulator","$4.99","10,000+","$49,900.00","Y"
"aCalendar+ Calendar & Tasks","$5.99","100,000+","$59,900.00","Y"
"Acupuncture Assistant","$7.99","10,000+","$79,900.00","Y"
"Advanced Download Manager Pro","$2.99","50,000+","$29,900.00","Y"
"Adventure Time Game Wizard","$4.99","50,000+","$49,900.00","Y"
"ADWLauncher 1 EX","$2.49","500,000+","$24,900.00","Y"
"Age of Conquest: N. America","$3.99","10,000+","$39,900.00","Y"
"ai.type keyboard Plus + Emoji","$4.49","100,000+","$44,900.00","Y"
"AJ Jump: Animal Jam Kangaroos!","$1.99","50,000+","$19,900.00","Y"
"Al'Quran Bahasa Indonesia PRO","$4.49","10,000+","$44,900.00","Y"
"Alarmy (Sleep If U Can) - Pro","$2.49","10,000+","$24,900.00","Y"
"ASCCP Mobile","$9.99","10,000+","$99,900.00","Y"
"Assassin's Creed Identity","$1.99","500,000+","$19,900.00","Y"
"Attack the Light","$2.99","100,000+","$29,900.00","Y"
"Automagic * Automation","$3.90","10,000+","$39,000.00","Y"
"Baby Connect (activity log)","$4.99","50,000+","$49,900.00","Y"
"BackCountry Navigator TOPO GPS PRO","$11.99","100,000+","$119,900.00","Y"
"Backgammon NJ for Android","$7.99","10,000+","$79,900.00","Y"
"Baldur's Gate II","$9.99","50,000+","$99,900.00","Y"
"Baldur's Gate: Enhanced Edition","$9.99","100,000+","$99,900.00","Y"
"Battery HD Pro","$3.99","100,000+","$39,900.00","Y"
"Battery Notifier Pro BT","$2.59","10,000+","$25,900.00","Y"
"Battleheart Legacy","$4.99","50,000+","$49,900.00","Y"
"Beautiful Widgets Pro","$2.49","1,000,000+","$24,900.00","Y"
"BeFunky Photo Editor Pro","$1.99","50,000+","$19,900.00","Y"
"Best Park in the Universe","$2.99","10,000+","$29,900.00","Y"
"BIG Launcher","$9.99","10,000+","$99,900.00","Y"
"Bixby Button Remapper - bxActions Pro / Coffee","$2.99","10,000+","$29,900.00","Y"
"BlackCam Pro - B&W Camera","$1.49","100,000+","$14,900.00","Y"
"Bloons TD 5","$2.99","1,000,000+","$29,900.00","Y"
"BringGo AU & NZ","$0.99","10,000+","$9,900.00","Y"
"BSPlayer","$5.99","50,000+","$59,900.00","Y"
"Business Calendar Pro","$4.99","100,000+","$49,900.00","Y"
"BusyBox Pro","$2.49","100,000+","$24,900.00","Y"
"C Locker Pro","$2.99","10,000+","$29,900.00","Y"
"C4droid - C/C++ compiler & IDE","$2.99","50,000+","$29,900.00","Y"
"Call of Duty:Black Ops Zombies","$6.99","100,000+","$69,900.00","Y"
"Camera FV-5","$3.95","100,000+","$39,500.00","Y"
"Cameringo+ Filters Camera","$2.99","500,000+","$29,900.00","Y"
"Campervan.Guide Pro","$5.99","10,000+","$59,900.00","Y"
"CamScanner (License)","$1.99","500,000+","$19,900.00","Y"
"Card Wars - Adventure Time","$2.99","1,000,000+","$29,900.00","Y"
"Carrier Landings Pro","$12.99","10,000+","$129,900.00","Y"
"CHRONO TRIGGER (Upgrade Ver.)","$9.99","100,000+","$99,900.00","Y"
"Clue","$1.99","100,000+","$19,900.00","Y"
"CM FILE MANAGER Pro","$2.99","10,000+","$29,900.00","Y"
"CM Launcher 3D Pro💎","$4.99","100,000+","$49,900.00","Y"
"CN Superstar Soccer: Goal!!!","$2.99","100,000+","$29,900.00","Y"
"cronometer (ad free)","$2.99","50,000+","$29,900.00","Y"
"Cut the Rope GOLD","$0.99","1,000,000+","$9,900.00","Y"
"Cytus II","$1.99","100,000+","$19,900.00","Y"
"Daily Ab Workout","$1.99","50,000+","$19,900.00","Y"
"Day Night Live Wallpaper (All)","$2.49","50,000+","$24,900.00","Y"
"Day R Premium","$4.99","100,000+","$49,900.00","Y"
"Deep Sleep Battery Saver Pro","$3.28","10,000+","$32,800.00","Y"
"Detect-O-Gromit (D.O.G 2)","$2.49","10,000+","$24,900.00","Y"
"Deus Ex GO","$0.99","100,000+","$9,900.00","Y"
"Device Info Ex Live Wallpaper","$0.99","50,000+","$9,900.00","Y"
"Dirt Trackin Sprint Cars","$3.99","10,000+","$39,900.00","Y"
"Don't Starve: Pocket Edition","$4.99","100,000+","$49,900.00","Y"
"Don't Starve: Shipwrecked","$4.99","10,000+","$49,900.00","Y"
"Dots puzzle","$0.99","50,000+","$9,900.00","Y"
"Dr. Panda's Swimming Pool","$1.99","100,000+","$19,900.00","Y"
"Dr. Panda & Toto's Treehouse","$3.99","50,000+","$39,900.00","Y"
"Dr. Panda Art Class","$2.99","50,000+","$29,900.00","Y"
"Dr. Panda Farm","$2.99","10,000+","$29,900.00","Y"
"Dr. Panda Hospital","$2.99","50,000+","$29,900.00","Y"
"Dr. Panda Restaurant 2","$2.99","100,000+","$29,900.00","Y"
"Dr. Panda Supermarket","$2.99","50,000+","$29,900.00","Y"
"Dr. Seuss's ABC","$3.99","10,000+","$39,900.00","Y"
"DRAGON QUEST","$2.99","100,000+","$29,900.00","Y"
"DRAGON QUEST II","$4.99","10,000+","$49,900.00","Y"
"DRAGON QUEST III","$9.99","10,000+","$99,900.00","Y"
"DRAGON QUEST IV","$14.99","10,000+","$149,900.00","Y"
"DRAGON QUEST V","$14.99","10,000+","$149,900.00","Y"
"DRAGON QUEST VI","$14.99","100,000+","$149,900.00","Y"
"DRAGON QUEST VIII","$19.99","50,000+","$199,900.00","Y"
"DraStic DS Emulator","$4.99","1,000,000+","$49,900.00","Y"
"El Chavo","$0.99","10,000+","$9,900.00","Y"
"Elemental Knights R Platinum","$4.77","50,000+","$47,700.00","Y"
"EMT Review Plus","$11.99","10,000+","$119,900.00","Y"
"EMT Tutor NREMT-B Study Guide","$3.99","10,000+","$39,900.00","Y"
"ES File Explorer/Manager PRO","$2.99","500,000+","$29,900.00","Y"
"Essential Anatomy 3","$11.99","50,000+","$119,900.00","Y"
"EU Flags Live Wallpaper","$0.99","10,000+","$9,900.00","Y"
"European War 6: 1804","$0.99","10,000+","$9,900.00","Y"
"ExDialer PRO Key","$3.99","100,000+","$39,900.00","Y"
"F-Sim Space Shuttle","$4.99","100,000+","$49,900.00","Y"
"F-Stop Gallery Pro","$4.99","10,000+","$49,900.00","Y"
"Facetune - For Free","$5.99","1,000,000+","$59,900.00","Y"
"Farming Simulator 16","$2.99","500,000+","$29,900.00","Y"
"Farming Simulator 18","$4.99","100,000+","$49,900.00","Y"
"FINAL FANTASY DIMENSIONS","$13.99","100,000+","$139,900.00","Y"
"FINAL FANTASY V","$7.99","100,000+","$79,900.00","Y"
"FiSwitch","$1.99","10,000+","$19,900.00","Y"
"Five Nights at Freddy's","$2.99","1,000,000+","$29,900.00","Y"
"Five Nights at Freddy's 2","$2.99","500,000+","$29,900.00","Y"
"Five Nights at Freddy's 3","$2.99","100,000+","$29,900.00","Y"
"Five Nights at Freddy's 4","$2.99","100,000+","$29,900.00","Y"
"Five Nights at Freddy's: SL","$2.99","100,000+","$29,900.00","Y"
"FlashLight HD LED Pro","$2.99","50,000+","$29,900.00","Y"
"Flipped Out! - Powerpuff Girls","$2.99","10,000+","$29,900.00","Y"
"Flud (Ad free)","$1.49","10,000+","$14,900.00","Y"
"Football Manager Mobile 2018","$8.99","100,000+","$89,900.00","Y"
"Formula Cartoon All Stars","$2.99","10,000+","$29,900.00","Y"
"Fruit Ninja Classic","$0.99","1,000,000+","$9,900.00","Y"
"FVD Ad-Free","$1.99","10,000+","$19,900.00","Y"
"Ghosts'n Goblins MOBILE","$0.99","10,000+","$9,900.00","Y"
"Golfshot Plus: Golf GPS","$29.99","50,000+","$299,900.00","Y"
"Grand Theft Auto: San Andreas","$6.99","1,000,000+","$69,900.00","Y"
"Guns'n'Glory Heroes Premium","$2.99","10,000+","$29,900.00","Y"
"Guns'n'Glory Premium","$2.99","100,000+","$29,900.00","Y"
"Guns'n'Glory WW2 Premium","$2.99","100,000+","$29,900.00","Y"
"HD Widgets","$0.99","1,000,000+","$9,900.00","Y"
"Hitman GO","$0.99","500,000+","$9,900.00","Y"
"Hitman Sniper","$0.99","10,000,000+","$9,900.00","Y"
